165328,153704,143533,134633,125818,118227,111585,106137,101245,96964,92844,89265,86133,83394,81086,79066,77300,75920,74555,73361,72316,71424,70530,69751,69124,69358,69550,69663,69041,68498,68854,70034,71065,71137,70579,70091,69915,69159,68499,68502,68181,68136,67722,67213,66796,66342,65977,65913,65767,65643,65480,65222,72365,71347,70519,69860,69284,68781,71031,73132,74971,76200,74705,73392,72243,71439,70514,69610,68821,68379,67832,67349,66927,66551,66144,65914,65664,65454,65257,65146,64904,64689,64578,64500,64554,64610,64564,64475,64466,64581,64545,64515,64628,65778,66592,67304,67069,66685,66350,66125,tcpprobe_cubic_1ms
167075,155349,145088,136111,128255,121381,115367,110105,104827,100211,96430,93241,90711,88500,86565,84370,82439,80747,79051,77589,76052,74705,73617,72659,71821,71088,70445,69840,69414,76981,75557,74311,73401,72663,71830,71156,70567,69929,69373,68830,68374,68027,67663,67424,67215,67101,67014,66889,66778,66600,66445,66385,66306,66238,66179,66128,66082,65898,66201,67001,67709,68557,69300,70520,69878,69353,69100,69167,68995,68983,68610,68477,68207,68004,68080,68206,67934,67823,67729,67715,67517,67381,67210,67014,66833,66676,66468,66337,66319,66323,66357,66390,66304,66231,66111,66067,66085,66085,66009,65943,tcpprobe_cubic_2ms
199881,183735,183735,169603,169603,169603,157238,146419,137070,128893,121899,115075,109105,103882,99312,95312,91811,88748,86008,83610,81605,80099,78785,77634,76628,75747,74977,74304,73715,73199,72749,72356,72011,71397,70862,70393,69983,69748,69543,69365,69210,69074,68956,68987,69015,68889,68777,68680,68595,68521,68456,68399,68474,68540,68597,70273,72113,73724,75134,76367,77446,78390,79217,79940,80572,81126,81735,81735,81735,81735,80002,78486,77160,75999,74984,74096,73319,72639,80200,78800,77575,76378,75331,74539,73847,73241,72836,72482,72421,72369,72369,72369,72369,72369,72369,72338,72310,72228,72183,72145,tcpprobe_cubic_3ms
153669,145417,138197,131880,126353,121517,117286,113584,111487,106965,103012,99554,97178,95110,93309,91739,90365,89500,87601,86963,86407,86110,85853,85632,85440,84623,83909,83279,82729,82241,83348,84327,85195,85956,86634,85118,84309,83601,82982,82247,81605,81327,81084,81250,81395,81795,82156,82915,83584,84166,84677,83940,83273,83412,82235,80956,79836,78857,78000,77625,77297,77106,76654,76259,75530,74892,74629,74707,74721,74732,74742,74748,74405,74104,73841,73611,73410,73108,73095,73083,73073,72688,72352,72058,71801,71576,71379,71457,71470,71900,71891,71881,71875,71871,71867,72573,72304,72313,72321,72329,tcpprobe_cubic_4ms
170887,159105,148795,139774,131881,124976,118933,113647,109991,105485,102486,99872,97585,95586,93837,92309,90973,89981,88463,87805,87232,86451,85771,85168,85315,85462,85592,85706,86217,86665,87057,87398,87885,88311,88684,88833,88964,88759,88581,87339,86261,85317,84491,83754,83112,82550,82075,81670,81320,81105,80927,80754,80603,80472,80357,80258,80172,79687,79906,80104,80282,80439,80578,80712,80831,81230,81581,81889,82159,82396,81215,80186,79279,78487,77794,77188,76661,76201,75776,75429,75125,74869,74644,74453,74276,74121,74096,74076,74117,74154,73868,73625,73413,73238,73083,72950,72833,72733,72645,72779,tcpprobe_cubic_5ms
161418,151158,142181,134326,127454,121441,116179,111576,107549,104026,100944,100169,99494,98903,98388,97938,97546,97206,96909,97966,98894,96053,93569,91702,90070,88641,87391,86297,85339,84499,83765,83122,82560,82065,81770,81511,81286,80982,80719,80486,80669,80830,80661,80513,80384,80271,80812,81294,81717,82090,82419,82707,82960,83044,83117,83183,83273,83352,83420,83480,82683,81987,81379,80846,80381,79974,80122,80251,80364,80458,80538,80608,80669,80721,80933,81115,80798,80521,80278,80066,79881,79554,79268,79016,78796,78602,78433,78312,78206,78113,78031,77960,77899,77845,77799,77591,77410,77150,76925,76728,tcpprobe_cubic_6ms
176515,165934,156675,148573,141484,135282,129855,125107,120952,117318,114138,110348,107035,104137,101602,99385,97445,95749,94267,92970,91837,90037,88656,87445,86387,85460,84649,83939,83318,82774,82300,81884,81520,81201,80922,80796,80686,80590,80567,80548,80531,80086,79699,79357,79059,78798,78630,78483,78418,78361,78375,78387,78399,78410,78420,78429,78628,78803,78956,79090,79207,79310,79400,79634,79842,80024,80226,80405,80612,80679,82160,83458,84593,85587,86267,86862,87383,87838,88237,88586,88832,89047,89235,89399,89481,89553,89616,90866,91911,92832,93643,94359,94990,95543,96027,96452,96825,97151,97438,96133,tcpprobe_cubic_7ms
222456,204708,189178,175590,163700,153297,144195,136230,129421,123466,118259,113704,109720,106236,103190,100527,98199,96163,94564,93171,91949,90881,89946,89129,88415,87791,87245,87073,86922,86792,86677,86577,86492,86421,86358,86304,86255,86214,87459,88555,89517,90359,91095,91739,92302,93272,94120,94863,95512,96081,96578,97330,97990,98570,99075,99523,99625,99719,99808,99897,100503,101043,101522,102051,102524,103321,104317,105194,105958,106627,107798,108826,109725,110513,111203,111807,112335,113295,110577,108201,106118,104297,102695,101875,101160,100534,99986,99962,99945,101031,101995,102840,103101,103330,103530,103705,103859,103992,104110,104212,tcpprobe_cubic_8ms
209812,195759,183462,172703,163290,155054,147848,141543,136027,131202,126980,121228,116195,111792,107939,104571,101624,99046,96791,94871,93194,91528,90074,88800,87687,86713,85916,85220,84671,84190,83831,83519,83308,83126,83022,82932,82916,82848,82790,82869,82941,84588,86033,87295,88399,89365,90211,90951,91599,92166,92663,93042,93374,93664,93918,94080,94223,94345,94453,94485,94513,94536,94557,94512,94473,94437,94406,94324,94252,94187,94132,94021,93925,93840,93766,93700,93643,93462,93521,94850,96014,97033,97925,98705,99389,99987,100511,101659,102668,103552,104325,105003,105651,106225,106727,107167,107553,107999,108392,109188,tcpprobe_cubic_9ms
214289,200663,188738,178304,169174,161186,154197,148082,142732,138051,131423,125624,120551,116111,112226,108827,105853,103251,100974,98982,98117,97360,96699,96121,95616,95173,94787,94450,94450,94289,94153,94519,94849,95372,95837,96251,96785,97255,97858,98396,97069,97069,97069,95919,94911,94030,93259,92585,91995,91480,91029,90636,90291,89991,89727,89497,89953,90363,90591,90797,90975,91133,90791,90496,90233,90009,89585,89221,88899,88620,88374,88159,87799,87488,87214,86976,87227,87449,87636,87805,87338,87596,88455,89210,89871,90450,91055,91586,92050,92831,93517,94118,94643,95103,95506,96354,97099,97751,98322,98822,tcpprobe_cubic_10ms
